Year Mo Da Ho Mi Se,Epicentral area,NMDP,Lat,Lon,Io,Mw
1046 11 09,Trentino,2,,,,
1065 03 27,Brescia,2,45.539,10.22,7,5.1
1065 03 27 16 45,Brescia,,,,,
1117 01 03 15 15,Veronese,55,45.267,11.015,9,6.52
1117 01 03 15 15,Monti Pisani,5,,,,
1148,Firenze,1,43.773,11.257,7,5.1
1168 01 10,Pisa,1,43.718,10.402,05/06/20,4.4
1174 08 17 18,Val Padana,3,44.494,11.343,04/05/20,3.93
1182 08 15,Genova,1,44.419,8.898,6,4.63
1183 12,Verona,1,45.439,10.994,06/07/20,4.86
1194,Galeata,3,44.067,12.078,06/07/20,4.86
1196,Pistoia,1,43.933,10.915,6,4.63
1217 01 08,Genova,1,44.419,8.898,05/06/20,4.4
1222 12 25 12 30,Bresciano-Veronese,18,45.533,10.623,07/08/20,5.68
1234 03 20,Ferrara,1,44.835,11.62,7,5.1
1242 10 24,Vicenza,1,45.548,11.546,05/06/20,4.4
1249 09,Modena,2,44.647,10.926,06/07/20,4.86
1276 07 29 18 30,Monferrato,9,44.627,8.482,5,4.81
1279 04 30,Appennino forlivese,5,44.13,11.919,07/08/20,5.52
1280 01 25,Pianura emiliana,2,44.814,10.683,05/06/20,4.4
1285 12 13,Ferrara,2,44.835,11.62,7,5.1
1293 03,Pistoia,1,43.933,10.915,8,5.56
1304 10 23 00 45,Pianura emiliana,4,,,,
1304 12 18 02,Pianura lombarda,1,45.352,8.954,05/06/20,4.4
1306 07,Lucca,1,43.843,10.505,6,4.63
1312 10 14 11 15,Pianura lombarda,1,45.352,8.954,5,4.16
1320 12 16,Siena,1,43.318,11.332,7,5.1
1322,Pisa,1,43.718,10.402,05/06/20,4.4
1323 02 25 19,Bologna,2,44.57,11.134,5,4.16
1325 05 21,Firenze,1,43.773,11.257,05/06/20,4.4
1334 12 04,Verona,1,45.439,10.994,06/07/20,4.86
1339 11 16 14 10,Ferrara,1,44.835,11.62,6,4.63
1344 11 11,Parma,1,44.801,10.33,5,4.16
1345 01 31,Pianura emiliana,1,44.81,10.564,05/06/20,4.4
1345 09 12,Firenze,1,43.773,11.257,6,4.63
1345 12 22,Firenze,1,43.773,11.257,6,4.63
1346 02 08,Modena,1,44.647,10.926,5,4.16
1361 12 27,Siena,1,43.318,11.332,06/07/20,4.86
1365 03 04,Pianura Veneta,4,45.337,12.019,5,4.63
1365 07 25 18,Bologna,1,44.494,11.343,07/08/20,5.33
1365 09 21 05 45,Verona,2,45.439,10.994,05/06/20,4.4
1369 02 01,Alessandria,2,44.913,8.615,06/07/20,4.86
1373 01,Vicenza,1,45.548,11.546,05/06/20,4.4
1373 04,Vicenza,1,45.548,11.546,05/06/20,4.4
1376 03 12 01 15,Vicenza,1,45.548,11.546,06/07/20,4.86
1376 03 15,Vicenza,1,45.548,11.546,05/06/20,4.4
1383 07 24 20,Parma,2,44.801,10.33,04/05/20,3.93
1383 08 04,Forlì,1,44.222,12.04,07/08/20,5.33
1384 02 04 05 05,Firenze,1,43.773,11.257,5,4.16
1384 02 04 17 10,Firenze,1,43.773,11.257,5,4.16
1393 06 15,Appennino forlivese,1,43.996,11.912,7,5.1
1396 11 26,Monza,1,45.584,9.274,07/08/20,5.33
1399 07 20 23,Appennino modenese,6,44.441,10.925,7,5.1
1400 02 29 19 15,Bologna,1,44.494,11.343,5,4.16
1400 03 03 12 15,Bologna,1,44.494,11.343,5,4.16
1402,Verona,1,45.439,10.994,6,4.63
1408 01 03 16 30,Bologna,2,44.494,11.343,4,3.7
1409 08 17 00 35,Ferrara,1,44.835,11.62,6,4.63
1409 11 15 11 15,Parma,1,44.801,10.33,7,5.1
1410 05 09 22 30,Ferrara,1,44.835,11.62,06/07/20,4.86
1410 06 10 21,Verona,5,,,,
1411 01 09 02,Ferrara,1,44.835,11.62,7,5.1
1414 08 07,Colline Metallifere,8,43.27,11.121,07/08/20,5.7
1420,Siena,1,43.318,11.332,05/06/20,4.4
1424 10 20,Appennino tosco-romagnolo,1,44.172,11.947,5,4.16
1425 08 10,Ferrarese,2,44.835,11.62,6,4.63
1426,Firenze,1,43.773,11.257,05/06/20,4.4
1428 07 03 05,Forlivese,6,44.146,12.046,07/08/20,5.47
1429 06 26,Siena,1,43.318,11.332,5,4.16
1430 08 13 00 40,Siena,1,43.318,11.332,5,4.16
1433 05 04 08 05,Bologna,4,44.494,11.343,6,4.63
1436 03,Siena,1,43.318,11.332,06/07/20,4.86
1438 06 11 02,Parmense,4,44.844,10.239,8,5.56
1445 03 21 13 30,Verona,1,45.439,10.994,05/06/20,4.4
1453 09 28 22 45,Fiorentino,5,43.783,11.287,07/08/20,5.38
1455 02 06,Appennino bolognese,2,,,,
1455 12 20 20 45,Appennino bolognese,5,44.494,11.343,05/06/20,4.4
1464 03 24,Garfagnana,2,43.996,10.457,5,4.16
1465 04 07 15 30,Pianura emiliana,5,44.698,10.631,05/06/20,4.4
1467 08 22 20 20,Siena,1,43.318,11.332,05/06/20,4.4
1467 09 03,Siena,1,43.318,11.332,06/07/20,4.86
1469 04 07 06 25,Firenze,1,43.773,11.257,5,4.16
1470 04 11,Appennino bolognese,1,44.162,11.037,8,5.56
1471,Brescia,1,45.539,10.22,4,3.7
1471 08 15 16 40,Brescia,1,45.539,10.22,5,4.16
1473 05 07 07 45,Milanese,5,45.464,9.191,4,3.7
1474 03 11 20 30,Modena,3,44.647,10.926,5,4.16
1479 10 10 22,Forlì,2,44.222,12.04,5,4.16
1481 02 06 21 15,Monti Pisani,4,43.781,10.454,05/06/20,4.4
1481 02 07 06 20,Lucca,1,43.843,10.505,05/06/20,4.4
1481 02 07 22 45,Pianura emiliana,2,44.724,10.628,5,4.16
1481 05 07 14 15,Lunigiana,6,44.274,10.13,8,5.6
1483 03 03 22,Ferrara,1,44.835,11.62,05/06/20,4.4
1483 08 11 19 40,Romagna,14,44.155,12.229,8,5.69
1485,Reggio nell'Emilia,1,44.698,10.631,5,4.16
1485 09 01,Pianura padano-veneta,4,45.355,11.721,5,4.16
1486 09 30,Siena,1,43.318,11.332,05/06/20,4.4
1487 01 11 15 40,Ferrara,2,44.835,11.62,4,3.7
1491 01 24 23 50,Padova,1,45.407,11.875,06/07/20,4.86
1492 01,Forlì,1,44.222,12.04,06/07/20,4.86
1496 06 04 08 30,Siena,1,43.318,11.332,7,5.1
1496 06 04,Siena,1,43.318,11.332,5,4.16
1497 03 03,Lunigiana,1,,,,
1501 06 05 10,Modenese,17,44.519,10.844,9,6.05
1502 05 15,Valle Stura,1,44.331,7.487,5,4.16
1504 11 01,Casentino,2,43.697,11.816,7,5.1
1504 12 31 04,Bolognese,15,44.494,11.343,6,5.02
1505 01 03 02,Bolognese,31,44.507,11.23,8,5.62
1505 01 20 23 50,Bolognese,11,44.494,11.343,05/06/20,4.76
1505 01 27 02 40,Bolognese,2,44.494,11.343,5,4.16
1505 04 03 12 25,Bolognese,1,44.494,11.343,05/06/20,4.4
1505 05 15,Bolognese,1,44.494,11.343,05/06/20,4.4
1508 10 18,Ferrarese,1,44.835,11.62,4,3.7
1508 10 26,Ferrarese,1,44.835,11.62,5,4.16
1509 04 19,Faentino,5,44.323,11.864,7,5.02
1512 02 08,Valchiavenna,1,46.322,9.402,6,4.63
1513 02 10,Alessandria,1,44.913,8.615,5,4.16
1515 10 25 12 35,Pianura Padana,5,,,,
1516 05 20 23,Pianura Padana,4,,,,
1520 02 18 04 30,Bresciano-Veronese,2,,,,
1521 01 26 10 30,Bresciano,1,,,,
1522 10 05 00 10,Pianura Padana,6,44.982,10.05,5,4.71
1527 10 04,Pistoia,1,43.933,10.915,07/08/20,5.33
1536 08 10 23,Genova,1,44.419,8.898,6,4.63
1536 08 17 00 05,Appennino settentrionale,10,44.365,10.934,06/07/20,5.12
1537 11,Savona,1,44.307,8.48,6,4.63
1540 09 01 08 10,Brescia,1,45.539,10.22,5,4.16
1541 10 22 18,Valle Scrivia,9,44.761,8.909,7,5.26
1542 05 13 19 40,Piemonte,1,,,,
1542 06 13 02 15,Mugello,46,44.006,11.385,9,6.02
1545 06 09 15 45,Val di Taro,5,44.473,9.825,07/08/20,5.38
1547 02 10 13 20,Reggiano,7,44.698,10.631,7,5.1
1547 03 24,Reggiano,1,44.698,10.631,05/06/20,4.4
1547 07 31,Savona,1,44.307,8.48,05/06/20,4.4
1549 05 08,Livorno,2,43.551,10.309,06/07/20,4.86
1549 05 13 08 30,Liguria occidentale,6,44.517,7.752,04/05/20,4.37
1550 02 28 16,Cuneo,1,44.389,7.547,06/07/20,4.86
1551 09 26 16 30,Firenze,1,43.773,11.257,05/06/20,4.4
1554 11 27 18 30,Firenze,1,43.773,11.257,06/07/20,4.86
1558 04 13 09,Valdarno superiore,29,43.456,11.564,9,5.97
1561 11 24 01 25,Ferrarese,3,44.781,11.454,05/06/20,4.4
1570 11 17 19 10,Ferrarese,58,44.824,11.632,07/08/20,5.44
1572 06 04 22,Parmense,5,44.85,10.422,6,4.63
1574 03 17 03 40,Finale Emilia,4,44.833,11.294,6,4.63
1575 06 14 16,Siena,1,43.318,11.332,06/07/20,4.86
1576 09 26 05 10,Bergamo,1,45.694,9.671,05/06/20,4.4
1584 09 10 20 30,Appennino forlivese,17,43.862,11.992,9,5.97
1586 01 12,Parmense,1,44.866,10.061,5,4.16
1591 05 24,Reggio nell'Emilia,1,44.698,10.631,6,4.63
1591 07 10,Romagna,6,44.401,12.035,06/07/20,5.13
1593 03 08,Bergamo,1,45.694,9.671,06/07/20,4.86
1594 10 03,Ferrara,1,44.835,11.62,5,4.16
1597 08 03 23 40,Mugello,24,43.987,11.429,07/08/20,5.28
1599 11 16,Casentino,2,43.774,11.716,7,5.1
1600 07 06,Firenze,1,43.773,11.257,6,4.63
1600 10 28,Reggio nell'Emilia,1,44.698,10.631,07/08/20,5.33
1603 01 25,Siena,1,43.318,11.332,05/06/20,4.4
1606 08 22,Bergamo,1,45.694,9.671,06/07/20,4.86
1606 12 12,Padova,1,45.407,11.875,5,4.16
1607 12 31,Reggio nell'Emilia,1,44.698,10.631,5,4.16
1608 01 06 22 20,Reggio nell'Emilia,2,44.698,10.631,05/06/20,4.4
1609,Valdelsa,3,43.421,11.114,05/06/20,4.4
1610 05 14,Liguria occidentale,2,44.307,8.48,4,3.7
1611 09 08 22 10,Mugello,4,44.01,11.359,7,5.1
1620 06 22,Ravennate,2,44.517,12.017,06/07/20,4.86
1624 03 19,Argenta,18,44.642,11.848,07/08/20,5.43
1628 11 04 15 40,Parma,1,44.801,10.33,06/07/20,4.86
1628 11 04 15 40,Parma,1,,,,
1630 05,Pistoiese,1,43.903,10.69,05/06/20,4.4
1637 11 20,Chiavari,1,44.317,9.322,05/06/20,4.4
1638 04,Siena,1,43.318,11.332,05/06/20,4.4
1639 04 06,Finale Emilia,1,44.833,11.294,07/08/20,5.33
1641 06 08,Lunigiana,1,44.377,9.882,6,4.63
1642 06 13,Pianura lombarda,8,45.437,9.667,6,4.92
1644 05 09,Frignano,1,44.245,10.952,06/07/20,4.86
1646 02 22,Padova,1,45.407,11.875,5,4.16
1646 04 05 16 15,Livorno,2,43.551,10.309,6,4.63
1646 05 30 01,Mantovano,2,45.158,10.794,4,3.7
1648 01 13 18,Pistoia,1,43.933,10.915,05/06/20,4.4
1653 04 19 04 15,Reggiano,4,44.814,10.504,05/06/20,4.4
1653 08 15,Romagna,3,44.216,12.055,05/06/20,4.4
1655 03 25,Appennino forlivese,1,44.06,11.842,6,4.63
1661 03 12,Prealpi bergamasche,4,45.705,9.799,06/07/20,4.86
1661 03 21 23,Modenese,4,44.734,10.863,06/07/20,4.86
1661 03 22 12 50,Appennino forlivese,79,44.021,11.898,9,6.05
1662 12 29,Padova,1,45.407,11.875,5,4.16
1666 04 14 18 58,Bolognese,3,44.639,11.114,5,4.16
1671 06 20 10,Modenese-Reggiano,8,44.674,10.866,7,5.27
1678 07 15,Ferrara,1,44.835,11.62,5,4.16
1680 04 30 11,Valle Scrivia,1,44.688,8.803,7,5.1
1683 05 25,Valli Giudicarie,4,46.025,10.864,05/06/20,4.4
1688 04 11 12 20,Romagna,39,44.39,11.942,08/09/20,5.84
1688 08 19 05 45,Faentino,1,44.288,11.881,5,4.16
1689 03 19,Faentino,3,44.281,12.107,4,3.7
1693 07 06 09 15,Mantovano,13,45.28,10.644,7,5.23
1695 02 25 05 30,Asolano,107,45.861,11.91,10,6.4
1695 02 28,Ferrara,1,44.835,11.62,05/06/20,4.4
1697 06 18,Val di Pesa,2,43.67,11.09,05/06/20,4.4
1697 09 20 15 50,Siena,2,43.318,11.332,05/06/20,4.4
1697 09 20 16 50,Siena,2,43.318,11.332,06/07/20,4.86
1697 09 30 12 15,Siena,2,43.318,11.332,06/07/20,4.86
1697 10 01,Siena,2,43.318,11.332,6,4.63
1697 10 28 01,Siena,2,43.318,11.332,6,4.63
1697 12 20 19 45,Siena,2,43.318,11.332,6,4.63
1703 09 16 17,Faentino,1,44.288,11.881,6,4.63
1703 12 21 21,Piemonte-Liguria,3,44.542,8.529,4,3.7
1704 05 13 12 15,Riviera Ligure,4,44.298,8.574,5,4.16
1704 05 14 00 45,Riviera Ligure,2,44.363,8.689,5,4.16
1705 04 14 19 20,Senese,2,43.318,11.332,4,3.7
1711 05 21,Vicentino,2,45.548,11.546,4,3.7
1719 12 12 19,Valli Giudicarie,2,45.803,10.671,5,4.16
1720 01 10,Toscana settentrionale,3,44.037,10.142,04/05/20,3.93
1724 12 11 20,Colline Metallifere,5,43.206,11.008,7,5.1
1725 10 29 17 40,Appennino tosco-emiliano,28,44.207,11.573,8,5.67
1726 01 28 21,Appennino bolognese,1,44.359,11.63,06/07/20,4.86
1727 03 09 11,Mugello,6,44.057,11.367,06/07/20,4.93
1728 02 04 03,Bolognese,2,44.398,11.59,05/06/20,4.4
1729 06 23,Casentino,7,43.773,11.486,6,4.63
1730 03 29 00 05,Versilia,4,43.877,10.272,4,3.7
1731 12 09,Appennino pistoiese,3,43.933,10.915,4,3.7
1731 12 23,Appennino pistoiese,2,43.933,10.915,4,3.7
1732 02 04 18 20,Parma,9,44.871,10.468,05/06/20,4.65
1732 05 21,Livorno,2,43.551,10.309,04/05/20,3.93
1732 08 09,Romagna,3,44.288,11.878,6,4.63
1737 06 11 00 30,Val di Pesa,4,43.563,11.166,5,4.16
1738 11 05 00 30,Emilia occidentale,10,44.906,10.028,7,5.1
1739 07 16 05,Mugello,2,,,,
1739 07 31 11,Bologna,1,44.494,11.343,05/06/20,4.4
1740 03 06 05 40,Garfagnana,32,44.074,10.489,8,5.64
1741 10 01,Siena,1,43.318,11.332,7,5.1
1742 01 27 11 20,Livornese,16,43.551,10.309,6,4.87
1743 05 29,Ferrara,1,44.835,11.62,06/07/20,4.86
1744,Appennino modenese,1,44.245,10.952,06/07/20,4.86
1746 07 19 09 35,Garfagnana,,,,,
1746 07 20 09 35,Garfagnana,,,,,
1746 07 23 18 15,Garfagnana,10,44.091,10.448,7,5.15
1751 11 21,Liguria,6,44.419,8.898,4,3.7
1753 04 22,Appennino forlivese,3,43.983,11.92,06/07/20,4.86
1756 02 26,Valle del Brenta,3,45.893,11.82,4,3.7
1759 03 18,Pistoia,1,43.933,10.915,5,4.16
1759 05 26 22 15,Pavese,4,44.893,8.648,5,4.16
1761 06 10 00 10,Appennino forlivese,2,43.946,11.909,4,3.7
1761 06 20 22,Appennino forlivese,2,43.834,11.96,6,4.63
1762 04 15 18,Mugello,12,44.004,11.506,7,5.14
1766 05 06,Valdelsa,5,43.541,10.942,4,3.7
1767 01 21 07 45,Lunigiana,10,44.138,10.133,7,5.27
1767 01 21 09,Lunigiana,7,44.238,10.124,05/06/20,4.6
1767 02 07 03 45,Genovese,10,44.548,8.681,6,4.98
1767 05 26 18 24,Valli di Lanzo,3,45.272,7.502,7,5.1
1768 10 19 23,Appennino forlivese,45,43.943,11.904,9,5.99
1768 11 30 11 30,Valdelsa,4,43.565,10.946,5,4.16
1770 12 27 04,Valdarno superiore,5,43.701,11.409,06/07/20,4.86
1771 01 08 03 30,Livorno,2,43.551,10.309,05/06/20,4.4
1771 07 27 22 45,Mugello,2,43.946,11.318,5,4.16
1771 07 27 23,Mugello,2,44.119,11.379,5,4.16
1771 07 29,Mugello,1,44.119,11.379,5,4.16
1771 08 13 08 13,Appennino bolognese,1,44.141,11.161,6,4.63
1771 08 15 08 15,Pianura lombarda,3,45.606,9.722,5,4.16
1774 03 04,Parma,2,44.801,10.33,5,4.16
1774 03 31 14 49,Bresciano,6,45.552,10.111,05/06/20,4.4
1775 01 04 18,Appennino emiliano,6,44.647,10.926,4,4.43
1775 01 05 22 45,Appennino emiliano,7,44.238,10.124,5,4.55
1778 02 18 02 18,Lunigiana,2,44.175,10.182,04/05/20,3.93
1778 06 11,Forlì,2,44.222,12.04,05/06/20,4.4
1779 06 01 23 55,Bolognese,8,,,,
1779 06 02 07 30,Bolognese,3,,,,
1779 06 04 07,Bolognese,12,44.443,11.479,7,5.22
1779 06 10 08 35,Bolognese,10,,,,
1779 06 26 12,Siena,2,43.318,11.332,5,4.16
1779 07 14 19 30,Bolognese,17,,,,
1779 08 20 10 50,Bolognese,2,44.459,11.39,5,4.16
1779 11 23 18 30,Bolognese,14,44.424,11.529,5,4.7
1779 12 24 17,Appennino pistoiese,9,44.061,10.86,05/06/20,4.59
1779 12 31 16,Appennino pistoiese,3,44.03,10.821,5,4.16
1780 02 06 04,Bolognese,9,44.567,11.31,06/07/20,5.06
1780 05 25,Romagna,5,44.418,12.197,05/06/20,4.4
1780 08 01,Valle Scrivia,1,44.897,8.864,5,4.16
1780 08 04,Valle Scrivia,1,44.897,8.864,5,4.16
1780 09 22 13 45,Forlivese,3,44.237,11.765,04/05/20,3.93
1781 04 04 21 20,Faentino,96,44.251,11.798,09/10/20,6.12
1781 07 17 09 40,Faentino,46,44.268,11.987,8,5.61
1781 09 10 11 30,Pianura lombarda,11,45.501,9.589,06/07/20,4.93
1783 06 29,Casentino,4,43.774,11.716,05/06/20,4.4
1783 07 28,Garda settentrionale,4,45.879,10.808,6,4.63
1784 03 30 11,Oltrepò Pavese,1,44.776,9.183,5,4.16
1785 07 19 22 30,Val Lagarina,5,45.978,11.079,4,3.7
1786 04 07 00 15,Pianura lombarda,10,45.267,9.55,06/07/20,5.22
1786 11 24 06 45,Langhe,26,44.731,7.909,5,4.29
1787 07 16 10,Ferrara,3,44.835,11.62,05/06/20,4.4
1787 07 26 07 15,Ferrara,1,44.835,11.62,06/07/20,4.86
1787 10 20 13 30,Siena,1,43.318,11.332,4,3.7
1787 10 21 12 30,Siena,1,43.318,11.332,5,4.16
1787 10 21 23,Siena,1,43.318,11.332,5,4.16
1787 10 23 05,Siena,1,43.318,11.332,5,4.16
1787 12 26,Casentino,6,43.723,11.767,05/06/20,4.4
1787 12 26 15 10,Casentino,2,,,,
1790 07 26,Lunigiana,3,44.354,9.909,7,5.1
1795 02 14 19 15,Siena,2,43.318,11.332,4,3.7
1796 10 22 04,Emilia orientale,27,44.614,11.67,7,5.45
1798 05 26,Senese,15,43.343,11.417,06/07/20,4.85
1799 02 22 05 45,Correggio,2,44.771,10.779,5,4.16
1799 05 29 19,Bresciano,12,45.404,10.27,06/07/20,5.04
1801 10 08 07 52 53.00,Bolognese,6,44.466,11.421,6,4.9
1802 05 12 09 30,Valle dell'Oglio,94,45.424,9.839,8,5.6
1802 08 10 01 45,Toscana centrale,4,43.541,10.774,5,4.16
1804,Valdelsa,2,43.605,11.111,06/07/20,4.86
1804 10 02 21 55,Valdelsa,7,43.489,11.147,4,4.18
1804 10 06 10 30,Valdelsa,2,43.318,11.332,4,3.7
1804 10 18 20,Valdelsa,4,43.453,11.105,7,5.1
1804 12 17,Valdelsa,4,43.419,11.162,6,4.84
1806 02 12,Reggiano,28,44.862,10.671,7,5.21
1806 03 31,Liguria occidentale,6,43.844,7.749,5,4.62
1807 09 05 01 30,Liguria occidentale,10,43.948,7.945,05/06/20,4.81
1807 12 19 01 30,Biellese,3,45.552,7.97,5,4.16
1808 10 26 21,Livorno,1,43.551,10.309,6,4.63
1810 05 01,Monte Baldo,1,45.764,10.809,6,4.63
1810 12 25 00 45,Pianura emiliana,33,44.9,10.719,6,5.06
1811 07 15 22 44,Modenese-Reggiano,19,44.572,10.728,06/07/20,5.13
1812 09 11 12,Val di Pesa,13,43.659,11.14,07/08/20,5.24
1813 09 21 07 45,Romagna,12,44.25,11.97,7,5.28
1814 04 03,Costa pisano-livornese,4,43.635,10.355,06/07/20,5.12
1815 02 26,Prealpi Vicentine,3,45.722,11.433,4,3.7
1815 08 12,Pistoia,1,43.933,10.915,6,4.63
1818 02 23 18 10,Liguria occidentale,45,43.92,8.034,7,5.32
1818 12 09 18 55,Parmense,26,44.696,10.296,7,5.24
1819 01 08 22 30,Liguria occidentale,5,43.865,7.932,06/07/20,4.86
1824 02 04 21 50,Oltrepò Pavese,8,44.92,9.126,5,4.49
1824 08 12 07,Appennino forlivese,2,43.867,12.01,6,4.63
1826 06 24 12 15,Garda occidentale,20,45.606,10.522,5,4.62
1826 10,Appennino forlivese,1,44.06,11.842,05/06/20,4.4
1826 11 11 04 28,Pavia,1,45.185,9.155,5,4.16
1828 04 08,Appennino forlivese,3,44.115,12.004,6,4.63
1828 10 08 22 30,Romagna,8,44.174,12.09,05/06/20,4.57
1828 10 09 02 20,Oltrepò Pavese,110,44.821,9.047,8,5.72
1828 10 09 08,Oltrepò Pavese,6,,,,
1828 10 10 01 30,Oltrepò Pavese,18,,,,
1829 09 06 19 30,Cremona,2,45.135,10.023,05/06/20,4.4
1830 01 26 04 30,Alto Reno,11,44.213,11.074,5,4.53
1831 05 26 10 30,Liguria occidentale,33,43.855,7.849,8,5.56
1831 05 28 12 45,Liguria occidentale,7,43.859,7.922,6,4.73
1831 07 14 15 30,Reggiano,8,44.749,10.48,05/06/20,4.6
1831 09 11 18 15,Pianura emiliana,25,44.753,10.544,07/08/20,5.48
1831 09 13 05 30,Pianura emiliana,7,,,,
1831 11 25 01 45,Liguria occidentale,1,43.819,7.774,5,4.16
1832 03 11 06 45,Carpi,14,44.778,10.832,5,4.51
1832 03 11 08 45,Parmense,14,,,,
1832 03 12 02 30,Parmense,4,,,,
1832 03 12 08 45,Reggiano,7,,,,
1832 03 13 03 30,Reggiano,97,44.765,10.494,07/08/20,5.51
1832 03 14 04 40,Reggiano,5,,,,
1832 03 14 07 41,Reggiano,7,,,,
1832 04 19 14 14,Reggiano,5,,,,
1834 02 14 13 15,Val di Taro-Lunigiana,112,44.432,9.859,9,5.96
1834 07 04 00 45,Val di Taro-Lunigiana,24,44.531,9.948,06/07/20,5.08
1834 10 04 19,Bolognese,12,44.479,11.32,6,4.71
1835 02 06 18 50,Mugello,5,43.962,11.416,6,4.63
1835 02 06 20,Mugello,,,,,
1835 04 20 03,Val di Taro,1,44.488,9.767,5,4.16
1835 04 25 02 45,Val di Taro,6,44.454,9.686,05/06/20,4.77
1835 05 23 08 30,Cuneese,1,44.33,7.551,06/07/20,4.86
1836 06 12 02 30,Asolano,26,45.803,11.825,8,5.53
1837 04 11 17,Lunigiana,60,44.175,10.182,9,5.94
1839 08 09 08 45,Brescia,1,45.539,10.22,5,4.16
1841 10 15 22,Veronese,12,45.167,11.11,5,4.27
1843 10 25 03 30,Mugello,17,44.003,11.261,06/07/20,5.03
1843 10 25 04 10,Mugello,,,,,
1844 03 10 17 15,Forlivese,2,44.18,12.142,05/06/20,4.4
1845 01 20 05 15,Valle Scrivia,2,44.781,8.999,4,3.7
1845 09 14 22 20,Appennino tosco-emiliano,9,43.843,10.505,5,4.73
1846 08 14 12,Colline Pisane,121,43.47,10.562,9,6.04
1848 05 12,Senese,6,43.322,11.331,06/07/20,5.05
1849 01 06 02 40,Romagna Toscana,4,44.096,11.414,05/06/20,4.4
1849 06 18 06 25,Alpi Marittime,6,44.229,7.561,5,4.16
